search_term,status,campaign_name,ad_group_name,impressions,clicks,ctr,cost,conversions,cost_per_conversion
para que sirve la endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,8,4,0.5,163.34,0,
ligadura con banda elástica para hemorroides precio,NONE,Hemorroides,Hemorroides - Core,12,2,0.1667,162.58,0,
como se hace la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,23,4,0.1739,161.4,0,
várices en el estómago tiene cura,NONE,Ligadura Esofagica,Ligadura Esofagica,2,1,0.5,161.31,0,
cuidados después de una ligadura de várices esofágicas,NONE,Ligadura Esofagica,Ligadura Esofagica,4,1,0.25,157.33,0,
cuánto cuesta una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,14,6,0.4286,156.25,0,
colonoscopia como se hace,NONE,Colonoscopia,Colonoscopy - Core,15,4,0.2667,155.94,0,
hemorroides ligadura con banda elástica,NONE,Hemorroides,Hemorroides - Core,3,1,0.3333,155.67,0,
endoscopista,NONE,Endoscopia,Endoscopy - Core,26,4,0.1538,155.34,1,155.34
cuánto cuesta una colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,19,7,0.3684,154.86,0,
cuánto vale una endoscopia,NONE,Endoscopia,Endoscopy Prices,15,6,0.4,153.59,0,
qué es una endoscopia,NONE,Endoscopia,Endoscopy - Core,33,3,0.0909,152.5,0,
cuanto tarda una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,18,3,0.1667,150.67,0,
endogastrica mérida,NONE,Endoscopia,Endoscopy - Core,27,6,0.2222,149.02,0,
como es la colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,5,4,0.8,148.03,0,
costo colonoscopia salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,6,4,0.6667,146.18,0,
costo de una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,12,4,0.3333,146.14,0,
endoscopia digestiva alta precio,NONE,Endoscopia,Endoscopy Prices,16,5,0.3125,144.87,0,
preparación para una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,13,3,0.2308,144.01,1,144.01
procedimiento cpre,NONE,CPRE,CPRE - Core,22,3,0.1364,143.32,0,
colonscopia,NONE,Colonoscopia,Colonoscopy - Core,22,3,0.1364,142.62,0,
cuánto cuesta un estudio de colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,8,4,0.5,142.58,0,
cómo se hace la endoscopia,NONE,Endoscopia,Endoscopy - Core,9,5,0.5556,139.58,0,
foto de una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,2,2,1,139.28,0,
para que sirve la endoscopia,NONE,Endoscopia,Endoscopy - Core,38,3,0.0789,138.41,0,
precio de la colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,10,5,0.5,138.37,1,138.37
jm endoscopia,NONE,Endoscopia,Endoscopy - Core,29,4,0.1379,137.89,1,137.89
que precio tiene una endoscopia,NONE,Endoscopia,Endoscopy Prices,11,4,0.3636,137.58,0,
cuanto vale una endoscopia,NONE,Endoscopia,Endoscopy Prices,11,5,0.4545,137.09,0,
estudio cpre costo en mérida yucatán,NONE,CPRE,CPRE - Core,32,6,0.1875,136.3,1.0003,136.26
que es colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,11,4,0.3636,136.2,0,
varices en el estomago,NONE,Ligadura Esofagica,Ligadura Esofagica,64,2,0.0312,136.17,0,
que es una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,14,3,0.2143,133.49,1,133.49
endoscopia superior precio,NONE,Endoscopia,Endoscopy Prices,4,3,0.75,130.73,0,
colonoscopia virtual chopo,NONE,Colonoscopia,Colonoscopy - Core,4,3,0.75,128.02,0,
endoscopia digestiva alta,NONE,Endoscopia,Endoscopy - Core,33,4,0.1212,127.69,0.6667,191.54
qué precio tiene la colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,4,2,0.5,127.33,0,
hacen endoscopia en salud digna,NONE,Endoscopia,Endoscopy - Core,13,4,0.3077,126.69,0,
qué precio tiene una colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,20,4,0.2,124.98,0,
cuanto cuesta una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,16,5,0.3125,123.86,0,
endoscopia en salud digna,NONE,Endoscopia,Endoscopy - Core,16,4,0.25,123.02,0,
para que sirve una colonoscopia con biopsia,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,122.1,0,
precio endoscopia salud digna,NONE,Endoscopia,Endoscopy Prices,10,4,0.4,121.54,0,
costo endoscopia salud digna,NONE,Endoscopia,Endoscopy Prices,9,4,0.4444,120.91,0,
indicaciones para una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,2,1,119.74,0,
por donde se hace una endoscopia,NONE,Endoscopia,Endoscopy - Core,2,3,1.5,119.56,1,119.56
en que consiste la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,2,1,119.3,0,
cómo es una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,7,4,0.5714,119.15,0,
cuánto cuesta el estudio de colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,6,4,0.6667,119.1,0,
qué es endoscopia,NONE,Endoscopia,Endoscopy - Core,13,3,0.2308,118.72,0.25,474.88
salud digna realiza endoscopia,NONE,Endoscopia,Endoscopy - Core,3,3,1,118.44,1,118.44
estudio del colon,NONE,Colonoscopia,Colonoscopy - Core,19,4,0.2105,117.94,0,
salud digna endoscopia,NONE,Endoscopia,Endoscopy - Core,16,4,0.25,117.7,0,
cómo es la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,2,0.6667,117.38,0,
endoscopia precio merida,ADDED,Endoscopia,Endoscopy Prices,19,4,0.2105,116.57,0,
como se realiza una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,14,3,0.2143,115.8,0,
precio endoscopia y colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,3,2,0.6667,115.7,0,
endoscopia star medica,NONE,Endoscopia,Endoscopy - Core,4,3,0.75,115.08,1.5,76.72
precio endoscopia similares,NONE,Endoscopia,Endoscopy Prices,8,5,0.625,115.0,0,
que es endoscopia,NONE,Endoscopia,Endoscopy - Core,103,4,0.0388,114.36,0,
estudios de colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,4,2,0.5,113.08,0,
es peligroso una endoscopia precio,NONE,Endoscopia,Endoscopy Prices,5,3,0.6,112.22,0,
resonancia colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,111.45,0,
endoscopia con biopsia,NONE,Endoscopia,Endoscopy - Core,25,5,0.2,110.76,1.6667,66.46
cpre procedimiento,NONE,CPRE,CPRE - Core,9,3,0.3333,110.66,0,
cómo se hace la colonoscopia en mujeres,NONE,Colonoscopia,Colonoscopy - Core,7,4,0.5714,109.33,0,
cuando es necesario hacerse una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,22,2,0.0909,109.04,0,
colonoscopias que es,NONE,Colonoscopia,Colonoscopy - Core,2,2,1,108.98,0,
precio aproximado de una endoscopia,NONE,Endoscopia,Endoscopy Prices,4,3,0.75,108.97,0,
