search_term,status,campaign_name,ad_group_name,impressions,clicks,ctr,cost,conversions,cost_per_conversion
cuánto cuesta la colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,3,2,0.6667,37.38,0,
colonoscopia imss precio,NONE,Colonoscopia,Colonoscopy - Pricing,4,1,0.25,37.31,0,
estudio de estomago con camara,NONE,Endoscopia,Endoscopy - Core,1,1,1,37.27,0,
estudio del estomago con camara,NONE,Endoscopia,Endoscopy - Core,6,1,0.1667,37.26,0,
que vale una endoscopia,NONE,Endoscopia,Endoscopy Prices,1,1,1,37.15,0,
con qué dispositivo el médico puede ver las profundidades de tus intestinos o de tu esófago,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,36.99,0,
qué es endoscopía,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,36.95,0,
cuanto tiempo tarda una endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,36.86,0,
estudio para el estomago,NONE,Endoscopia,Endoscopy - Core,8,1,0.125,36.86,0,
panescopia,NONE,Endoscopia,Endoscopy - Core,5,1,0.2,36.85,0,
endoscopia en villahermosa tabasco,NONE,Endoscopia,Endoscopy - Core,1,1,1,36.84,0,
coloscopia,NONE,Colonoscopia,Colonoscopy - Core,6,1,0.1667,36.81,0,
laboratorio de endoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,36.62,0,
endoscopia con capsula precio,NONE,Endoscopia,Endoscopy Prices,1,1,1,36.61,0,
cirugía hemorroides,NONE,Hemorroides,Hemorroides - Core,13,1,0.0769,36.54,0,
endoscopia gastrointestinal precio,NONE,Endoscopia,Endoscopy Prices,8,1,0.125,36.41,0,
estudio de colonoscopia precio,NONE,Colonoscopia,Colonoscopy - Pricing,5,2,0.4,36.3,1,36.3
endoscopia procedimiento,NONE,Endoscopia,Endoscopy - Core,8,1,0.125,36.19,0,
que sale en una endoscopia,NONE,Endoscopia,Endoscopy - Core,1,1,1,36.06,0,
estudio del colon,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,36.03,0,
médico colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,35.86,0,
endoscopia alta,NONE,Endoscopia,Endoscopy - Core,11,1,0.0909,35.71,0,
precio aproximado de una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,2,1,0.5,35.67,0,
tipos de endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,35.57,0,
second look endoscopia,NONE,Endoscopia,Endoscopy - Core,1,1,1,35.53,0,
precio coloscopia,NONE,Colonoscopia,Colonoscopy - Pricing,7,1,0.1429,35.46,1,35.46
hemorroides operacion,NONE,Hemorroides,Hemorroides - Core,12,1,0.0833,35.45,0,
colposcopia rectal,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,35.44,0,
en una endoscopia que se puede ver,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,35.35,0,
que se necesita para hacer una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,35.27,0,
cuanto cuesta una endoscopia en mexico,NONE,Endoscopia,Endoscopy Prices,2,2,1,35.26,0,
para qué sirve una endoscopia,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,35.19,0,
que es escopia,NONE,Endoscopia,Endoscopy - Core,6,1,0.1667,35.15,0,
como se llama el estudio que te meten una camarita,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,35.03,0,
gastroenterología endoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,34.91,0,
cuanto cuesta endoscopia,ADDED,Endoscopia,Endoscopy Prices,3,1,0.3333,34.87,0,
costo panendoscopia,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,34.75,0,
cuanto cuesta la endoscopia gastrica,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,34.72,0,
donde se hacen endoscopias,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,34.61,0,
endoscopia para que sirve,NONE,Endoscopia,Endoscopy - Core,26,1,0.0385,34.44,0,
cuanto cuesta un estudio de endoscopia,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,34.43,0,
colonoscopia cuanto dura,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,34.43,0,
endoscopia de hernia hiatal,NONE,Endoscopia,Endoscopy - Core,6,1,0.1667,34.35,0,
colonoscopia precio mérida,NONE,Colon Max Conversions,Colonoscopy - Pricing,1,1,1,34.24,0,
que precio tiene la endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,34.22,0,
cómo se realiza una endoscopia,NONE,Endoscopia,Endoscopy - Core,15,1,0.0667,34.08,0,
endoscopia cuanto cuesta,NONE,Endoscopia,Endoscopy Prices,6,1,0.1667,33.98,0,
endoscopia en salud digna precio,NONE,Endoscopia,Endoscopy Prices,9,1,0.1111,33.88,0,
precio de colonoscopia en salud digna,NONE,Colon Max Conversions,Colonoscopy - Pricing,1,1,1,33.81,0,
cómo es la endoscopia,NONE,Endoscopia,Endoscopy - Core,11,1,0.0909,33.67,0,
quien hace una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,33.61,0,
estudio del estomago,NONE,Endoscopia,Endoscopy - Core,14,1,0.0714,33.6,0,
donde se realiza una endoscopia,NONE,Endoscopia,Endoscopy - Core,7,1,0.1429,33.57,0,
costo de colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,10,2,0.2,33.45,0,
endoscopia cdmx precio,NONE,Endoscopia,Endoscopy Prices,1,1,1,33.41,0,
precio colonoscopia,ADDED,Colon Max Conversions,Colonoscopy - Pricing,3,1,0.3333,33.39,0,
biopsia endoscopia precio,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,33.38,0,
operacion de los hemorroides,NONE,Hemorroides,Hemorroides - Core,1,1,1,33.23,0,
cuanto cuesta endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,1,1,1,33.1,0,
cuánto vale una endoscopia con biopsia,NONE,Endoscopia,Endoscopy Prices,1,1,1,33.01,0,
extracción endoscópica,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,32.98,0,
estudio de endoscopia precio,NONE,Endoscopia,Endoscopy Prices,4,2,0.5,32.96,0,
endoscopia digestiva superior precio,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,32.85,2,16.43
endoscopía digestiva,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,32.7,0,
endoscopia precio salud digna,NONE,Endoscopia,Endoscopy Prices,6,1,0.1667,32.46,0,
cpre diagnostico,NONE,CPRE,CPRE - Core,1,1,1,32.38,0,
centro de colonoscopia y endoscopia,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,32.36,0,
endoscopia de ulcera gastrica,NONE,Endoscopia,Endoscopy - Core,1,1,1,32.3,0,
colonoscopia requisitos,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,32.3,0,
precio colonoscopia chopo,NONE,Colon Max Conversions,Colonoscopy - Pricing,2,1,0.5,32.2,0,
precio de la endoscopia digestiva,NONE,Endoscopia,Endoscopy Prices,1,1,1,32.1,0,
argón plasma en endoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,32.09,0,
cuánto sale una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,3,1,0.3333,32.06,0,
precio de endoscopia y colonoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,3,1,0.3333,31.68,0,
salud digna endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,31.56,0,
donde se hace la endoscopia,NONE,Endoscopia,Endoscopy - Core,6,1,0.1667,31.55,0,
cirugia endoscópica nasal,NONE,Endoscopia,Endoscopy - Core,1,1,1,31.48,0,
clínicas para fazer colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,31.46,1,31.46
en donde me puedo realizar una endoscopia,NONE,Endoscopia,Endoscopy - Core,5,1,0.2,31.24,0,
examen del colon en mujeres precio,NONE,Colonoscopia,Colonoscopy - Pricing,2,2,1,31.22,0,
videoendoscopia chopo,NONE,Endoscopia,Endoscopy - Core,1,1,1,31.03,0,
endoscopia precio en mexico,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,31.03,0,
panendoscopia con biopsia,NONE,Endoscopia,Endoscopy - Core,6,1,0.1667,30.95,0,
quien hace una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,5,1,0.2,30.77,0,
ultrasonido endoscópico precio,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,30.66,0,
estudio que se hace por el recto,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,30.62,0,
centro de endoscopia cerca de mi,NONE,Endoscopia,Endoscopy - Core,4,2,0.5,30.19,0,
cómo se llama el estudio del estómago,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,30.15,0,
costo de la endoscopia gastrointestinal,NONE,Endoscopia,Endoscopy Prices,1,1,1,30.08,0,
cpr endoscopica,NONE,CPRE,CPRE - Core,2,1,0.5,29.98,0,
cómo se realiza una endoscopia gastrointestinal,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,29.9,0,
que precio tiene una colonoscopia en chopo,NONE,Colon Max Conversions,Colonoscopy - Pricing,2,1,0.5,29.81,0,
panendoscopia con biopsia precio,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,29.79,0,
rotura de varices esofagicas,NONE,Ligadura Esofagica,Ligadura Esofagica,2,1,0.5,29.67,0,
colonoscopia nuevo metodo no invasivo,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,29.48,0,
cema endoscopia,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,29.46,0,
para que sirve la colonoscopia en mujeres,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,29.41,0,
cuanto sale un endoscopia,NONE,Endoscopia,Endoscopy Prices,1,1,1,29.33,0,
cómo se hace la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,10,1,0.1,29.23,0,
cirugia hemorroidal,NONE,Hemorroides,Hemorroides - Core,2,1,0.5,29.21,0,
endoscopía gastrointestinal,NONE,Endoscopia,Endoscopy - Core,12,1,0.0833,28.68,0,
endoscopia para sacar piedras de la vesicula,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,28.49,0,
colonoscopia precio en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,3,1,0.3333,28.39,1,28.39
laboratorios donde hagan colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,28.14,0,
especialistas en colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,28.12,0,
precio de una endoscopia en méxico,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,28.12,0,
estudio estomago,NONE,Endoscopia,Endoscopy - Core,1,1,1,27.93,0,
colonoscopia en que consiste,NONE,Colon Max Conversions,Colonoscopy - Core,4,2,0.5,27.83,0,
panendoscopia precio salud digna,NONE,Endoscopia,Endoscopy Prices,3,1,0.3333,27.83,0,
preparacion para la colonoscopia con sedacion,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,27.71,0.5,55.42
estudio colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,5,1,0.2,27.64,0,
capsula endoscopica,NONE,Endoscopia,Endoscopy - Core,5,1,0.2,27.53,0,
precio de una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Pricing,4,1,0.25,27.52,0,
cuanto cuesta una colonoscopia,ADDED,Colon Max Conversions,Colonoscopy - Pricing,5,3,0.6,27.47,0,
como se llama el estudio donde te meten una camara por la boca,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,27.4,0,
en que consiste una colonoscopia total,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,27.34,0,
precio de la colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Pricing,5,1,0.2,27.31,0,
gastro endoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,26.94,0,
en cuanto sale una endoscopia,NONE,Endoscopia,Endoscopy Prices,4,1,0.25,26.64,0,
ligadura hemorroidal,NONE,Hemorroides,Hemorroides - Core,4,1,0.25,26.48,0,
colonoscopia virtual precio salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,1,1,1,26.32,0,
estudio de panendoscopia,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,26.25,0,
costo de endoscopia en el chopo,NONE,Endoscopia,Endoscopy Prices,2,2,1,26.24,0.8,32.8
estudios para ver el colon,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,26.17,0,
cirugía para hemorroides,NONE,Hemorroides,Hemorroides - Core,2,1,0.5,26.17,0,
precio de una endoscopia en el chopo,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,26.03,0,
colonoscopia precios,NONE,Colon Max Conversions,Colonoscopy - Pricing,7,1,0.1429,25.97,0,
como es el estudio de la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,25.95,0,
en cuanto sale una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,25.77,0,
endoscopia precio similares,NONE,Endoscopia,Endoscopy Prices,13,1,0.0769,25.75,0,
como es la colonoscopia con sedacion,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,25.38,0,
que es colonoscopía,NONE,Colonoscopia,Colonoscopy - Core,4,1,0.25,25.21,0,
donde realizar una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,25.14,0,
para que sirve la endoscopia digestiva alta,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,25.06,0,
endoscopia donde hacerla,NONE,Endoscopia,Endoscopy - Core,6,1,0.1667,24.74,0,
costo de una endoscopia en mérida yucatán,NONE,Endoscopia,Endoscopy Prices,6,2,0.3333,24.72,0,
que anestesia se usa para una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,24.7,0,
cuánto cuesta un estudio de endoscopia,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,24.62,0,
endoscopia precios salud digna,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,24.62,0,
cuanto cuesta un estudio de colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,4,2,0.5,24.57,0,
costo de endoscopia en hospital de la solidaridad,NONE,Endoscopia,Endoscopy Prices,1,2,2,24.48,1,24.48
cuanto dura una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,12,1,0.0833,24.27,0,
cómo es una endoscopia,NONE,Endoscopia,Endoscopy - Core,5,1,0.2,24.26,0,
colonoscopía,NONE,Colonoscopia,Colonoscopy - Core,17,1,0.0588,24.07,0,
operación por hemorroides,NONE,Hemorroides,Hemorroides - Core,2,1,0.5,24.07,0,
endoscopía precio salud digna,NONE,Endoscopia,Endoscopy Prices,9,1,0.1111,23.8,0,
precios colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,1,1,1,23.64,0,
endoscopia villahermosa,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,23.39,1,23.39
cuanto vale una endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,23.23,0,
que es una endoscopia y cuanto cuesta,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,23.2,0,
centro de colonoscopia y endoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,23.18,0,
endoscopia rectal,NONE,Endoscopia,Endoscopy - Core,13,1,0.0769,22.82,0,
chopo endoscopia,NONE,Endoscopia,Endoscopy - Core,10,1,0.1,22.72,0,
cuánto cuesta la colonoscopia en salud digna,NONE,Colon Max Conversions,Colonoscopy - Pricing,1,1,1,22.62,0,
dr rené reyes vázquez gastroenterólogo endoscopista mérida,NONE,Endoscopia,Endoscopy - Core,28,1,0.0357,22.49,0,
que especialista hace la colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,22.38,0,
varices estomacales tratamiento,NONE,Ligadura Esofagica,Ligadura Esofagica,2,1,0.5,22.36,1,22.36
colonoscopia valor,NONE,Colonoscopia,Colonoscopy - Pricing,2,1,0.5,22.32,0,
endoscopia ulcera gastrica,NONE,Endoscopia,Endoscopy - Core,1,1,1,22.3,0,
que cuesta la endoscopia,NONE,Endoscopia,Endoscopy Prices,1,1,1,22.19,0,
hay endoscopia en salud digna,NONE,Endoscopia,Endoscopy - Core,7,1,0.1429,22.03,0,
procedimiento colonoscopia en mujeres,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,21.97,0,
precio de una endoscopia en chopo,NONE,Endoscopia,Endoscopy Prices,1,1,1,21.93,0,
colonoscopia con biopsia,NONE,Colonoscopia,Colonoscopy - Core,11,1,0.0909,21.58,0,
cuánto cuesta una endoscopia en el chopo,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,21.58,0,
endoscopia de tubo digestivo alto,NONE,Endoscopia,Endoscopy - Core,10,1,0.1,21.56,0,
duración de colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,21.43,0,
cuánto tarda un estudio de colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,4,1,0.25,21.23,0,
endoscopia a domicilio,NONE,Endoscopia,Endoscopy - Core,5,1,0.2,21.14,0,
endoscopia pediátrica precio,NONE,Endoscopia,Endoscopy Prices,4,1,0.25,21.01,0,
endoscopia gastrointestinal como se hace,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,20.95,0,
cuanto cuesta una endoscopia en similares,NONE,Endoscopia,Endoscopy Prices,1,1,1,20.62,0,
que precio tiene la colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,3,1,0.3333,20.51,0,
quien hace la endoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,20.45,0,
requisitos para colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,20.44,0,
quien realiza la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,4,1,0.25,20.39,0,
colonoscopia clinica santa maria,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,20.33,0,
endoscopia inferior y superior,NONE,Endoscopia,Endoscopy - Core,1,1,1,20.08,0,
endoscopia con ligadura de varices precio,NONE,Ligadura Esofagica,Ligadura Esofagica,1,1,1,20.06,0,
donde hacen endoscopia particular,NONE,Endoscopia,Endoscopy - Core,1,1,1,19.97,0,
clinica de endoscopia,NONE,Endoscopia,Endoscopy - Core,11,1,0.0909,19.9,0,
estudio de colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Core,4,1,0.25,19.66,0,
donde se hace colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,19.6,0,
estudio colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,2,2,1,19.44,0,
en cuanto sale la endoscopia,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,19.34,0,
colonoscopias precios,NONE,Colonoscopia,Colonoscopy - Pricing,2,1,0.5,19.06,1,19.06
endoscopia cpre precio,NONE,Endoscopia,Endoscopy Prices,1,1,1,18.98,0,
en salud digna hacen la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,18.71,0,
colonoscopia costo salud digna,NONE,Colon Max Conversions,Colonoscopy - Pricing,2,1,0.5,18.63,0,
procedimiento cpres,NONE,CPRE,CPRE - Core,2,1,0.5,18.59,0,
santa maria endoscopia,NONE,Endoscopia,Endoscopy - Core,1,1,1,18.38,0,
qué precio tiene la endoscopia,NONE,Endoscopia,Endoscopy Prices,6,2,0.3333,18.28,0,
precio de ligadura de hemorroides,NONE,Hemorroides,Hemorroides - Core,4,1,0.25,18.25,0,
como se llama estudio del estomago,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,17.82,1,17.82
valor de una endoscopia,NONE,Endoscopia,Endoscopy Prices,1,1,1,17.8,0,
dónde me puedo hacer una endoscopia,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,17.6,0,
una endoscopia cuanto cuesta,NONE,Endoscopia,Endoscopy Prices,1,1,1,17.5,1,17.5
cuanto cuesta la colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,4,1,0.25,17.04,0,
costo de endoscopia y colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,4,1,0.25,16.48,0,
colonoscopia precio salud digna,NONE,Colon Max Conversions,Colonoscopy - Pricing,4,1,0.25,16.25,0,
centros de endoscopia,NONE,Endoscopia,Endoscopy - Core,3,1,0.3333,16.15,0,
cuanto tiempo tarda una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,5,1,0.2,16.04,0,
donde se hace una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,15.74,0,
clinicas que realizan endoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,15.71,0,
costo de la colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,1,1,1,15.55,0,
colonosc,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,15.29,1,15.29
colonoscopia con sedación,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,15.21,0,
jm endoscopia cerca de mi,NONE,Endoscopia,Endoscopy - Core,11,2,0.1818,15.16,0,
que cuesta la colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,6,1,0.1667,15.07,0,
endoscopía salud digna,NONE,Endoscopia,Endoscopy - Core,13,1,0.0769,14.86,0,
precio de una panendoscopia,NONE,Endoscopia,Endoscopy Prices,1,1,1,14.85,0,
endoscopia con toma de biopsia,NONE,Endoscopia,Endoscopy - Core,1,1,1,14.81,0.25,59.24
precio endoscopia merida,NONE,Endoscopia,Endoscopy Prices,8,1,0.125,14.81,0,
clínicas donde hacen endoscopia,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,14.72,0,
cápsula endoscópica en méxico,NONE,Endoscopia,Endoscopy - Core,1,1,1,14.62,1,14.62
precio colonoscopia y endoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,2,1,0.5,14.51,0,
precio de una endoscopia de estomago,NONE,Endoscopia,Endoscopy Prices,1,1,1,14.41,0,
precio de las endoscopias,NONE,Endoscopia,Endoscopy Prices,3,1,0.3333,14.24,0,
costo de una panendoscopia,NONE,Endoscopia,Endoscopy Prices,2,1,0.5,14.19,0,
que es la colonoscopía,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,14.12,0,
gastroenterologo endoscopia,NONE,Endoscopia,Endoscopy - Core,10,1,0.1,13.88,0,
colonoscopia estudio,NONE,Colonoscopia,Colonoscopy - Core,6,1,0.1667,13.78,0,
en salud digna hacen endoscopias,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,13.7,0,
lugares donde hacen colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,5,1,0.2,13.59,1,13.59
cuánto sale la endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,1,1,1,13.22,0,
como se ve el cáncer de estómago en una endoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,13.16,0,
qué es la endoscopia,NONE,Endoscopia,Endoscopy - Core,13,1,0.0769,12.99,0,
cuánto vale una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,7,1,0.1429,12.74,0,
cpre donde lo realizan,NONE,Endoscopia,Endoscopy - Core,1,1,1,12.65,0,
costos de endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,1,1,1,11.98,0,
que es una endoscopia y para qué sirve,NONE,Endoscopia,Endoscopy - Core,14,1,0.0714,11.81,0,
costo de una endoscopia gastrica,NONE,Endoscopia,Endoscopy Prices,3,1,0.3333,11.53,0,
q precio tiene una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,2,1,0.5,11.41,0,
donde hacen panendoscopia,NONE,Endoscopia,Endoscopy - Core,2,1,0.5,11.29,0,
endoscopía gastrointestinal precio,NONE,Endoscopia,Endoscopy Prices,1,1,1,9.18,0,
endoscopia near me,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,6.9,0,
colonoscopia con toma de biopsia precio,NONE,Colon Max Conversions,Colonoscopy - Pricing,1,1,1,4.66,0,
c p r e,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cepre cirugía,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cepre gastro,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cepre procedimiento,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cirugia cepre,NONE,CPRE,CPRE - Core,10,0,0,0.0,0,
colangio endoscopica,NONE,CPRE,CPRE - Core,5,0,0,0.0,0,
colangio retrograda endoscopica,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
colangiografia endoscópica,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
colangiopancreatografia retrógrada endoscópica,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
colangiopantografia retrograda endoscopica,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cpre colangiopancreatografía retrógrada endoscópica,NONE,CPRE,CPRE - Core,9,0,0,0.0,0,
cpre en medicina,NONE,CPRE,CPRE - Core,3,0,0,0.0,0,
cpre o cpre,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cpre operacion,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cpre procedimiento quirúrgico,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
cpre tecnica quirurgica,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cpre vias biliares,NONE,CPRE,CPRE - Core,4,0,0,0.0,0,
cpres,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
cpres estudio,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
endoprotesis cpre,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
enfermedad cpre,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
estudio medico cpre,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
examen cepre,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
operacion cpre,NONE,CPRE,CPRE - Core,3,0,0,0.0,0,
operacion de cpre,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
operación de cpre,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
procedimiento de cpre,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
procedimiento quirúrgico cepre,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
prueba cpre,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
tecnica cpre,NONE,CPRE,CPRE - Core,2,0,0,0.0,0,
tratamiento cpre,NONE,CPRE,CPRE - Core,1,0,0,0.0,0,
biopsia colonoscopia precio,NONE,Colonoscopia,Colonoscopy - Pricing,1,0,0,0.0,0,
colonoscopia cdmx,NONE,Colonoscopia,Colonoscopy - Pricing,1,0,0,0.0,0,
colonoscopia con biopsia precio,NONE,Colonoscopia,Colonoscopy - Pricing,3,0,0,0.0,0,
colonoscopia con toma de biopsia precio,NONE,Colonoscopia,Colonoscopy - Pricing,2,0,0,0.0,0,
colonoscopia costos,NONE,Colonoscopia,Colonoscopy - Pricing,3,0,0,0.0,0,
colonoscopia cuanto cuesta,NONE,Colonoscopia,Colonoscopy - Pricing,1,0,0,0.0,0,
colonoscopia en cancun,NONE,Colonoscopia,Colonoscopy - Pricing,1,0,0,0.0,0,
colonoscopia en chopo precio,NONE,Colonoscopia,Colonoscopy - Pricing,2,0,0,0.0,0,
colonoscopia médica sur precio,NONE,Colonoscopia,Colonoscopy - Pricing,2,0,0,0.0,0,
colonoscopia olab precio,NONE,Colonoscopia,Colonoscopy - Pricing,1,0,0,0.0,0,
colonoscopia precio cancun,NONE,Colonoscopia,Colonoscopy - Pricing,3,0,0,0.0,0,
colonoscopia precio chopo,NONE,Colonoscopia,Colonoscopy - Pricing,8,0,0,0.0,0,
colonoscopia precio christus muguerza,NONE,Colonoscopia,Colonoscopy - Pricing,1,0,0,0.0,0,
colonoscopia precio en usa,NONE,Colonoscopia,Colonoscopy - Pricing,1,0,0,0.0,0,
