Order ID,Conversion Name,Adjustment Type,Adjustment Time
246ff0dd-4e57-4d7b-8634-455c97410198,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
26e43fce-1c06-4e4d-85a5-ce504bb1d9c1,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
2fda3255-fe78-44f7-8ad6-1b7cc3e260f5,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
51b8d6b6-842d-4f55-bc75-74310e1e9ceb,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
20698fea-3add-41c5-bf79-39682d0d0e60,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
0d1b3412-7ed7-416a-9da6-edbc10990c82,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
36b3ad51-dc98-40e1-902e-8e9bf1a62bd9,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
4a1ce615-0a31-4c14-98ae-e41143398900,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
2e57c284-14a4-4204-9e9e-c33250e0259d,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
1cd2a4ca-be00-4fa7-a686-13a28f8cedab,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
59e584b8-3079-4f44-bba9-f75b3d56e351,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
68e34c3c-1691-455b-bdaf-c290716f4a19,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
8bf87a5d-b3cd-4fd7-8ff5-8029eecd3d0f,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
9c3d06b6-d3ef-4b29-ab4f-0b51b4771e3b,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
a2fe4a8d-ecdb-4f13-906b-ef517a7aa08e,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
a59bfef4-a01e-44aa-b438-b415c0438946,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
2513f5da-fa60-4b2d-a980-453d1f23431b,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
36d21d79-da2f-41c3-9c37-259f43ff87eb,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
bdbc4c31-31f0-45bd-9480-c19512f8824d,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
c0c217a6-9371-427c-b8f1-47cef2179cf0,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
41e6d292-afe2-4bc1-9ca4-91a3c65e12d3,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
c4222667-4ef5-4139-b8d1-16e24e080ea2,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
c88ec2eb-18a5-4adb-9f92-276aa9dbde24,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
cd2dd460-8626-4370-b624-1c179f2be0c0,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
d67eefd0-dbf8-4b5f-855b-be0a4dc41dae,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
d71c7a63-a022-44d9-8c5d-de6847099f13,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
017626af-6fd3-4507-b4bb-09b38863bdbd,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
02dd18c4-894c-449d-8780-849df8e564a8,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
dd5c6d2d-3d2b-4555-929d-69de2c62c625,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
2ced7bba-9330-4dfb-8728-2ff014b87c9b,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
3cbeb0d0-8b07-43b1-92bf-53b981fbbf85,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
e708a12c-d042-4158-8221-482dc4043e91,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
7fe4c9d4-aad1-4d86-917c-52af61bfca49,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
816cf98a-b6e7-43de-9035-949f20ef27a7,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
2fb53a30-befa-43aa-b10d-ee8078bb3868,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
83e40d37-7fa7-41b2-b960-dbcafbda57fc,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
954e546b-63fe-4bc5-ad26-6e1f8838efc6,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
319f455a-5092-41b6-9523-f142a8a0e9df,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
a9059e8a-3722-49be-8afc-45674e1442cb,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
aa95df5a-6e44-404c-b15e-24c36e222951,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
ad01f200-c563-44e7-aa2f-70037750362f,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
8313e438-30c5-42ca-aea8-a0ac5ebde726,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
bae22509-5750-4c4a-b97b-3c82a9abc379,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
044717d1-4e08-4506-a95b-760a5a2ea8de,Cita Realizada,RETRACT,2026-07-09 14:07:31-06:00
