code,gclid,fbclid,utm_source,utm_medium,utm_campaign,utm_term,service,page_path,created
EDM-TWGDGG,CjwKCAjwvNfSBhBiEiwAyaGMCamTM1PIfxDPyRzaIMGhPTNvivZAwZeb6h1ZiSwAtLxN11ZEcZVkKBoC-jcQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T20:16:11.861Z
EDM-T5YYGY,CjwKCAjwvNfSBhBiEiwAyaGMCc0HeA3Y0UqK0o3DF1onWoVVuhfpZA78uz383t4E6vRIlri7NhVvdBoCAoIQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T17:23:09.964Z
EDM-2U79Q8,EAIaIQobChMIxczS_snSlQMVwSzUAR1e8SfuEAAYASAAEgL_lvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T16:23:59.685Z
EDM-P5YNFG,CjwKCAjwvNfSBhBiEiwAyaGMCXQXtOWsPCXGN0o7voVopKcd0ZHJHorBEMPIcwKqkZS1IPehvWn2NxoCm3EQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T15:52:54.443Z
EDM-KHQUZX,CjwKCAjwvNfSBhBiEiwAyaGMCc0HeA3Y0UqK0o3DF1onWoVVuhfpZA78uz383t4E6vRIlri7NhVvdBoCAoIQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T15:37:41.259Z
EDM-YCWVKQ,CjwKCAjwvNfSBhBiEiwAyaGMCc0HeA3Y0UqK0o3DF1onWoVVuhfpZA78uz383t4E6vRIlri7NhVvdBoCAoIQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T15:36:09.830Z
EDM-37DCKT,CjwKCAjwvNfSBhBiEiwAyaGMCU9vhVgAA4VbIJrl8Zld36tXIpJhprDy5buNvHWYWLZG9H4XQXGdWxoCxzgQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T14:32:50.183Z
EDM-WGWRHX,CjwKCAjwvNfSBhBiEiwAyaGMCeput-F4yMRFof_5DabBbS8BdYs-dJIpa3aG2RhnyJh82NDH8bWaqBoCzHUQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-14T14:31:53.795Z
EDM-7U878K,,,,,,,gastrostomia,/gastrostomia-endoscopica-peg-merida,2026-07-14T14:27:49.326Z
EDM-4BVK4S,CjwKCAjwvNfSBhBiEiwAyaGMCUWN6jtaL58EcothcpsXwYTr__8uoRB0LwdF26WjPAE9JpdYKdBtGhoCUPwQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-14T14:23:51.822Z
EDM-UHF5TP,CjwKCAjwvNfSBhBiEiwAyaGMCYUpUmSSduHV3lkvUmVKexePRdSYGQ6rY0vGkelTzJErCqZ9g8LFaRoCzU0QAvD_BwE,,,,,,endoscopia,/precios,2026-07-14T13:59:13.806Z
EDM-4SZX5P,,,,,,,global,/endoscopia-merida,2026-07-14T13:08:17.158Z
EDM-XBZQSS,CjwKCAjwmdLSBhANEiwAkREMN6LqlxNU7ubb8H1nNIJOGFfrWelRu02u17oYYLzePUKFPx2eLQ_FPhoCwiUQAvD_BwE,,,,,,colonoscopia,/precios,2026-07-14T02:00:40.833Z
EDM-SP76LS,CjwKCAjwmdLSBhANEiwAkREMN8A3QIOI95l-Ut4FcOHQcMEpi6vAYBgxF0GTbsUWzfiFm9ik7Ts0JRoC9WsQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-13T20:35:44.123Z
EDM-UGNYQL,CjwKCAjwmdLSBhANEiwAkREMNyBJ7WKLAV7Pwj_1o4cGArfS3FWKqDGBm2SWc1mut7r_kg13HAonNhoCKVYQAvD_BwE,,,,,,global,/precios,2026-07-13T13:54:49.694Z
EDM-WJEW8M,CjwKCAjwmdLSBhANEiwAkREMNyBJ7WKLAV7Pwj_1o4cGArfS3FWKqDGBm2SWc1mut7r_kg13HAonNhoCKVYQAvD_BwE,,,,,,endoscopia,/precios,2026-07-13T13:46:13.960Z
EDM-4MEQDU,CjwKCAjwmdLSBhANEiwAkREMNyBJ7WKLAV7Pwj_1o4cGArfS3FWKqDGBm2SWc1mut7r_kg13HAonNhoCKVYQAvD_BwE,,,,,,global,/precios,2026-07-13T13:44:59.171Z
EDM-JYRRT2,CjwKCAjw9szSBhBNEiwAC57Sq9t-yUjMqx02hJLxS8T0Zj4qxg40r8fTj2C0wN_SJDafcNyo-6lpLBoCLmEQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-13T01:03:42.403Z
EDM-UX6JZJ,CjwKCAjw9szSBhBNEiwAC57SqxAK9i5gh8JM3WI_jFpmAr457UU6PSZk1xNn43PJl0Rj3u-8mOC8QhoCMLoQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-13T00:23:10.204Z
EDM-CWGAQ5,CjwKCAjw9szSBhBNEiwAC57SqxAK9i5gh8JM3WI_jFpmAr457UU6PSZk1xNn43PJl0Rj3u-8mOC8QhoCMLoQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-13T00:22:34.700Z
EDM-VG5C78,CjwKCAjw9szSBhBNEiwAC57Sq2K7TR5PAwz_gL78H3NOy4Z-WK3gPguZr4yFGajblA-433cOfShvJhoCyqgQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-12T22:25:56.808Z
EDM-BW54FL,CjwKCAjw9szSBhBNEiwAC57Sq37qKAhv0ZcrWhqM2BseIsmDSFglwQssUj7jb7KnjN6w8478d1h_iRoCykoQAvD_BwE,,,,,,ligadura_varices,/lp/ligadura-varices,2026-07-12T22:04:26.708Z
EDM-NT5QRQ,,,,,,,contacto,/contacto,2026-07-12T20:13:10.530Z
EDM-R87FUY,CjwKCAjw9szSBhBNEiwAC57Sq_9hQuEnngGiBft8eDQx2MsyMQpj_LeshR2X91Z2glWehha8lvrhiRoCAgwQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-12T18:50:00.544Z
EDM-R46Y3R,CjwKCAjw9szSBhBNEiwAC57Sq2o-sQrTkzgUkxxG-xiofooH455B65DUB11Lb0VVabi9KERJtn1ofBoCGVkQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-12T17:10:00.001Z
EDM-KXWGF2,CjwKCAjw08fSBhA7EiwAfbQTsKo0SRGrKcjVB0_hG46AfGSb7Q2NBSNa-pPHMyChYNlsj7lQ4VMnExoC4pEQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-11T23:39:32.791Z
EDM-ZRQQ2R,CjwKCAjw08fSBhA7EiwAfbQTsP6YQk_91CiqH8_cAHvQHkgg-m3SsbkCT2W8aasfsDkn9JVWeBxOtRoC_2AQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-11T16:03:42.432Z
EDM-C4XX8J,Cj0KCQjwsMLSBhD9ARIsAIpUTDod3mfCaG74szkvGbYFA7EGzYOZYghQwar317RQN5r_fn-EmUyihZwaAh9gEALw_wcB,,,,,,colonoscopia,/precios,2026-07-11T02:44:35.654Z
EDM-3V72AU,,,,,,,generic,/colonoscopia-merida,2026-07-11T01:44:52.407Z
EDM-3D29EU,Cj0KCQjwsMLSBhD9ARIsAIpUTDqZey6YYPN5cfA6eru9TR-99xlA_6fzznTuA0tgjsUa9zqtdCrv69AaAmIdEALw_wcB,,,,,,endoscopia,/endoscopia-merida,2026-07-10T21:52:39.919Z
EDM-2X9ULG,Cj0KCQjwsMLSBhD9ARIsAIpUTDqX2_6VW2ODU1bg651wrp70QkCawoGta6FJJYMgFTkslfKiu1_eI_gaAhL8EALw_wcB,,,,,,colonoscopia,/precios,2026-07-10T18:36:19.453Z
EDM-LDD27X,Cj0KCQjwsMLSBhD9ARIsAIpUTDoTo5GLL37izxq9Fbp-4H72dX0kUia1IdV9ERFov4e-FjWZedkIKVgaAoHyEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-10T18:25:54.953Z
EDM-84HSYS,Cj0KCQjwsMLSBhD9ARIsAIpUTDonn9u3DVwUKNzYTJTbmSpxgkA5hHue5qn0cy_XeKoEEmMzGnvQf7QaApQQEALw_wcB,,,,,,colonoscopia,/lp/colonoscopia,2026-07-10T17:09:19.678Z
EDM-7QQKG3,Cj0KCQjwjb3SBhDgARIsAMKiWziGYpk42wKJ6TZ_0M0mqrkSgzX_qM9l78JRl9YHiZcE5vjiicuz4s0aAlQ4EALw_wcB,,,,,,cpre,/lp/cpre,2026-07-10T00:10:58.478Z
EDM-H3G9XJ,,,,,,,global,/cpre-merida,2026-07-09T22:36:41.141Z
EDM-TN7C5D,Cj0KCQjwjb3SBhDgARIsAMKiWzgPb0YxbUsQpAem-Oo5IXhGeuGjoLJdoz2VP3yl8bEpNvwEnCNSULkaAiCeEALw_wcB,,,,,,endoscopia,/lp/endoscopia,2026-07-09T14:18:23.626Z
EDM-7UJ6WM,CjwKCAjw6rfSBhAqEiwA_yocpgyEaZpDTHTqfhbwiGyGSymxdpSixO-MXxdKIXUOs-sy5hHTo5p_kRoCeBIQAvD_BwE,,,,,,homepage,/,2026-07-09T01:13:33.783Z
EDM-DZGF66,CjwKCAjw6rfSBhAqEiwA_yocpgyEaZpDTHTqfhbwiGyGSymxdpSixO-MXxdKIXUOs-sy5hHTo5p_kRoCeBIQAvD_BwE,,,,,,homepage,/,2026-07-09T01:12:34.207Z
EDM-HLJQX9,,,,,,,global,/endoscopia-merida,2026-07-09T01:00:08.647Z
EDM-FFZ5M3,CjwKCAjw6rfSBhAqEiwA_yocpsYP2-YNYwBAWmjF6hmHjZJfWd9FiPQk63akc8xjceEky5RX1cjo0RoCDhgQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-09T00:59:09.005Z
EDM-JTY4QP,CjwKCAjw6rfSBhAqEiwA_yocpnrZDGvydNrFQ2fWh-xKb3K54ROB0Vra1TdkgPrcw0tcCrrnfc6ecRoC5REQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-08T22:05:36.931Z
EDM-9D2EY2,CjwKCAjw6rfSBhAqEiwA_yocpq598PD98M6CxMQFGMOc1yDGr7iyMnLcKJl4Fxz_40VCj8ZORnxJhhoCf-MQAvD_BwE,,,,,,endoscopia,/lp/endoscopia,2026-07-08T20:39:42.714Z
EDM-XKXE75,CjwKCAjw6rfSBhAqEiwA_yocpv072vBwD1Y_4Wdhyo2I5840hGfwdBGUlHHwpAA-T6M9wZj91tQ3OhoC56sQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-08T17:49:11.027Z
EDM-DCX6M3,CjwKCAjw6rfSBhAqEiwA_yocpv072vBwD1Y_4Wdhyo2I5840hGfwdBGUlHHwpAA-T6M9wZj91tQ3OhoC56sQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-08T17:46:57.772Z
EDM-W45FP3,CjwKCAjw6rfSBhAqEiwA_yocpv072vBwD1Y_4Wdhyo2I5840hGfwdBGUlHHwpAA-T6M9wZj91tQ3OhoC56sQAvD_BwE,,,,,,colonoscopia,/lp/colonoscopia,2026-07-08T17:45:40.646Z
EDM-74PFQL,CjwKCAjw6rfSBhAqEiwA_yocpm3ba39R6CR0yy9BdWOs1kc1A2Y4nw5FVGdEPZ_fU6vfBhxai5rZmhoC7ngQAvD_BwE,,,,,,colonoscopia,/colonoscopia-merida,2026-07-08T16:27:53.492Z
