eventName,pagePath,eventCount
scroll,/lp/hemorroides,6
scroll_depth,/dilatacion-biliar-merida,6
appointment_form_start,/endoscopia-merida,5
faq_expand,/ligadura-hemorroides-internas-merida,5
first_visit,/dilatacion-biliar-merida,5
first_visit,/dilatacion-esofagica-merida,5
page_view,/capsula-endoscopica-merida,5
scroll,/apc-coagulacion-plasma-argon-merida,5
scroll_depth,/gastrostomia-endoscopica-peg-merida,5
session_start,/dilatacion-biliar-merida,5
user_engagement,/capsula-endoscopica-merida,5
user_engagement,/endoprotesis-biliares-merida,5
appointment_cta_click,/colonoscopia-merida,4
form_start,/endoscopia-merida,4
page_view,/diseccion-endoscopica-submucosa-esd-merida,4
scroll,/cpre-merida,4
scroll_depth,/capsula-endoscopica-merida,4
scroll_depth,/sutura-endoscopica-merida,4
session_start,/reseccion-endoscopica-mucosa-emr-merida,4
user_engagement,/dilatacion-biliar-merida,4
user_engagement,/dilatacion-esofagica-merida,4
user_engagement,/retiro-balon-gastrico-merida,4
video_play,/ligadura-hemorroides-internas-merida,4
whatsapp_click,/contacto,4
whatsapp_click,/dr-omar-quiroz,4
appointment_request,/endoscopia-merida,3
click,/emergencias-digestivas-merida,3
click,/reseccion-endoscopica-mucosa-emr-merida,3
faq_expand,/emergencias-digestivas-merida,3
faq_expand,/ligadura-varices-esofagicas-merida,3
faq_expand,/reseccion-endoscopica-mucosa-emr-merida,3
page_view,/esclerosis-varices-gastricas-merida,3
phone_click,/dr-omar-quiroz,3
phone_click,/lp/cpre,3
scroll,/emergencias-digestivas-merida,3
scroll_depth,/cierre-fistulas-clips-endoscopicos-merida,3
scroll_depth,/reseccion-endoscopica-mucosa-emr-merida,3
session_start,/diseccion-endoscopica-submucosa-esd-merida,3
user_engagement,/extraccion-cuerpos-extranos-endoscopia-merida,3
video_play,/lp/cpre,3
video_play,/lp/hemorroides,3
whatsapp_click,/reseccion-endoscopica-mucosa-emr-merida,3
click,/contacto,2
click,/lp/hemorroides,2
click,/lp/ligadura-varices,2
click,/ultrasonido-endoscopico-merida,2
faq_expand,/apc-coagulacion-plasma-argon-merida,2
first_visit,/cierre-fistulas-clips-endoscopicos-merida,2
first_visit,/diseccion-endoscopica-submucosa-esd-merida,2
first_visit,/reseccion-endoscopica-mucosa-emr-merida,2
first_visit,/sutura-endoscopica-merida,2
page_view,/cierre-fistulas-clips-endoscopicos-merida,2
page_view,/dilatacion-colonica-merida,2
page_view,/endoprotesis-esofagicas-merida,2
page_view,/lp/ligadura-hemorroides,2
page_view,/sutura-endoscopica-merida,2
phone_click,/cpre-playa-del-carmen,2
scroll,/contacto,2
scroll,/lp/ligadura-hemorroides,2
session_start,/cierre-fistulas-clips-endoscopicos-merida,2
session_start,/esclerosis-varices-gastricas-merida,2
session_start,/sutura-endoscopica-merida,2
user_engagement,/gastrostomia-endoscopica-peg-merida,2
user_engagement,/sutura-endoscopica-merida,2
